"","EDN","ED_Name","Prov","Electors","Nbr_Poll","Val_Bal","Val_Pct","Rej_Bal","Pct_Rej","Tot_Bal","TO","Win_Cand","LPV","CPV","NDV","GRV","BQV","OTV","Maj","Cand_Nbr","Male","Female","Avg_Gender","Tot_Memb","like_vote","sat_harp","ecc_sat","fin_own","Lib","CPC","NDP","Har","Tru","Mul","Count","Avg_Memb","Pct_Fem","Win","Win_Party","CPC_Win","LIB_Win","NDP_Win","GRN_Win","BQP_Win","OTP_Win"
"13",12002,"Central Nova/Nova-Centre","NS",60594,224,44263,99.5,233,0.5,44496,73.4,"Fraser, Sean Liberal/Libéral",25909,11418,4532,1834,0,570,14491,5,41,32,0.438356164383562,8,1.48275862068966,3.05882352941176,2.53731343283582,2.22058823529412,60.1060606060606,38.3235294117647,57.4461538461538,34.2272727272727,58.969696969697,55.84375,73,0.10958904109589,0.438356164383562,25909,"LIB",0,1,0,0,0,0
"14",12003,"Cumberland--Colchester","NS",65461,218,46332,99.6,178,0.4,46510,71,"Casey, Bill Liberal/Libéral",29527,12257,2647,1650,0,251,17270,6,40,45,0.529411764705882,3,1.31666666666667,3.06172839506173,2.59756097560976,2.17647058823529,63.9756097560976,35.0609756097561,48.8271604938272,27.9638554216867,62.5121951219512,47.3950617283951,85,0.0352941176470588,0.529411764705882,29527,"LIB",0,1,0,0,0,0
"15",12004,"Dartmouth--Cole Harbour","NS",73710,200,52270,99.6,201,0.4,52471,71.2,"Fisher, Darren Liberal/Libéral",30407,7331,12757,1775,0,0,17650,4,75,53,0.4140625,9,1.31683168316832,3.16935483870968,2.53968253968254,2.26984126984127,60.1311475409836,30.3719008264463,53.2521008403361,24.9105691056911,62.2845528455285,48.4830508474576,128,0.0703125,0.4140625,30407,"LIB",0,1,0,0,0,0
"16",12005,"Halifax","NS",73379,208,53032,99.5,259,0.5,53291,72.6,"Fillmore, Andy Liberal/Libéral",27431,4564,19162,1745,0,130,8269,5,73,48,0.409836065573771,7,1.31132075471698,3.21008403361345,2.6271186440678,2.13223140495868,61.7166666666667,30.675,59.4833333333333,26.1404958677686,65.9830508474576,56.9145299145299,122,0.0573770491803279,0.39344262295082,27431,"LIB",0,1,0,0,0,0
"17",12006,"Halifax West/Halifax-Ouest","NS",70515,238,50079,99.6,181,0.4,50260,71.3,"Regan, Geoff Liberal/Libéral",34377,7837,5894,1971,0,0,26540,4,71,44,0.382608695652174,7,1.3010752688172,2.93577981651376,2.52252252252252,2.17857142857143,60.5754716981132,37.394495412844,49.2038834951456,30.8468468468468,59.3963963963964,50.1698113207547,115,0.0608695652173913,0.382608695652174,34377,"LIB",0,1,0,0,0,0
"18",12007,"Kings--Hants","NS",67213,218,46686,99.6,202,0.4,46888,69.8,"Brison, Scott Liberal/Libéral",33026,8677,2998,1569,0,416,24349,7,40,37,0.480519480519481,4,1.31666666666667,3.12328767123288,2.50684931506849,2.16216216216216,66.9571428571429,35.6911764705882,49.8358208955224,28.1111111111111,67.1594202898551,48.6393442622951,77,0.051948051948052,0.480519480519481,33026,"LIB",0,1,0,0,0,0
"19",12008,"Sackville--Preston--Chezzetcook","NS",68040,196,48301,99.6,180,0.4,48481,71.3,"Samson, Darrell Liberal/Libéral",23161,7186,16613,1341,0,0,6548,4,46,52,0.530612244897959,4,1.45977011494253,2.92553191489362,2.47872340425532,2.20833333333333,55.9032258064516,37.0430107526882,48.9784946236559,30.5851063829787,53.3804347826087,43.8604651162791,98,0.0408163265306122,0.530612244897959,23161,"LIB",0,1,0,0,0,0
"20",12009,"South Shore--St. Margarets","NS",76181,253,52775,99.6,226,0.4,53001,69.6,"Jordan, Bernadette Liberal/Libéral",30045,11905,8883,1534,0,408,18140,6,45,40,0.470588235294118,5,1.26984126984127,3.02409638554217,2.54878048780488,2.28571428571429,59.5466666666667,35.2857142857143,46.1351351351351,29.85,58.2948717948718,41.9722222222222,85,0.0588235294117647,0.470588235294118,30045,"LIB",0,1,0,0,0,0
"21",12010,"Sydney--Victoria","NS",59994,202,40974,99.4,236,0.6,41210,68.7,"Eyking, Mark Liberal/Libéral",29995,4360,5351,1026,0,242,24644,5,39,24,0.380952380952381,3,1.33928571428571,3.38709677419355,2.68253968253968,2.2741935483871,67.5423728813559,23.85,58.1228070175439,18.2786885245902,69.4666666666667,55.1379310344828,63,0.0476190476190476,0.380952380952381,29995,"LIB",0,1,0,0,0,0
"22",12011,"West Nova/Nova-Ouest","NS",67059,227,45679,99.4,271,0.6,45950,68.5,"Fraser, Colin Liberal/Libéral",28775,11916,3084,1904,0,0,16859,4,39,42,0.518518518518519,9,1.20634920634921,2.90909090909091,2.56410256410256,2.2875,59.9342105263158,38.8947368421053,45.9041095890411,34.0945945945946,56.1866666666667,46.0285714285714,81,0.111111111111111,0.518518518518518,28775,"LIB",0,1,0,0,0,0
"23",13001,"Acadie--Bathurst","NB",66799,237,50963,99.3,336,0.7,51299,76.8,"Cormier, Serge Liberal/Libéral",25845,3852,20079,1187,0,0,5766,4,33,16,0.326530612244898,3,1.34210526315789,3.23404255319149,2.76086956521739,2.4468085106383,56.5454545454545,24.6818181818182,60.4090909090909,17.1739130434783,61.1707317073171,55.6046511627907,49,0.0612244897959184,0.326530612244898,25845,"LIB",0,1,0,0,0,0
"24",13002,"Beauséjour","NB",66891,215,52936,99.4,320,0.6,53256,79.6,"LeBlanc, Dominic Liberal/Libéral",36534,6017,8009,2376,0,0,28525,4,24,40,0.625,7,1.34615384615385,3.29032258064516,2.60655737704918,2.3448275862069,71.3,28.6,58.4237288135593,21.4098360655738,69.8,56.7543859649123,64,0.109375,0.625,36534,"LIB",0,1,0,0,0,0
"25",13003,"Fredericton","NB",61947,168,46722,99.6,188,0.4,46910,75.7,"DeCourcey, Matt Liberal/Libéral",23016,13280,4622,5804,0,0,9736,4,64,40,0.384615384615385,8,1.18390804597701,3.20792079207921,2.69607843137255,2.24509803921569,62.8556701030928,29.0510204081633,57.3505154639175,23.89,61.39,59.9479166666667,104,0.0769230769230769,0.384615384615385,23016,"LIB",0,1,0,0,0,0
"26",13004,"Fundy Royal","NB",63089,193,46820,99.5,241,0.5,47061,74.6,"Lockhart, Alaina Liberal/Libéral",19136,17361,8204,1823,0,296,1775,5,47,51,0.520408163265306,7,1.34883720930233,2.86813186813187,2.43617021276596,2.29473684210526,48.5280898876404,42,48.1294117647059,36.0222222222222,48.1797752808989,48.9404761904762,98,0.0714285714285714,0.520408163265306,19136,"LIB",0,1,0,0,0,0
"27",13005,"Madawaska--Restigouche","NB",50907,171,37306,99.1,348,0.9,37654,74,"Arseneault, René Liberal/Libéral",20778,6151,9670,707,0,0,11108,4,17,19,0.527777777777778,0,1.43333333333333,2.93939393939394,2.34285714285714,2.22857142857143,59.1935483870968,43.65625,54.5806451612903,30.4838709677419,58.6451612903226,59.8620689655172,36,0,0.527777777777778,20778,"LIB",0,1,0,0,0,0
"28",13006,"Miramichi--Grand Lake","NB",48331,160,36364,99.3,256,0.7,36620,75.8,"Finnigan, Pat Liberal/Libéral",17202,12476,5588,1098,0,0,4726,4,25,25,0.5,7,1.35,2.75,2.34782608695652,1.89795918367347,56.8604651162791,47.2,45.9761904761905,43.2340425531915,53.3863636363636,47.625,50,0.14,0.5,17202,"LIB",0,1,0,0,0,0
"29",13007,"Moncton--Riverview--Dieppe","NB",71982,192,52041,99.4,311,0.6,52352,72.7,"Petitpas Taylor, Ginette Liberal/Libéral",30054,11168,8420,2399,0,0,18886,4,78,64,0.450704225352113,6,1.40350877192982,2.97058823529412,2.47794117647059,2.20143884892086,56.6417910447761,39.3383458646617,54.8153846153846,32.4887218045113,53.3511450381679,51.2063492063492,142,0.0422535211267606,0.450704225352113,30054,"LIB",0,1,0,0,0,0
"30",13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest","NB",51729,180,37926,99.4,220,0.6,38146,73.7,"Ludwig, Karen Liberal/Libéral",16656,14625,4768,1877,0,0,2031,4,25,23,0.479166666666667,3,1.39024390243902,3,2.51063829787234,2.13636363636364,54.9782608695652,41.4444444444444,46.6363636363636,32.6976744186046,49.3260869565217,43.0975609756098,48,0.0625,0.479166666666667,16656,"LIB",0,1,0,0,0,0
"31",13009,"Saint John--Rothesay","NB",61722,176,42281,99.5,205,0.5,42486,68.8,"Long, Wayne Liberal/Libéral",20634,12915,7411,1321,0,0,7719,4,60,47,0.439252336448598,4,1.29787234042553,3.11881188118812,2.65686274509804,2.2952380952381,58.3186813186813,35.2247191011236,61.3033707865169,26.2421052631579,58.8817204301075,59.5222222222222,107,0.0373831775700935,0.439252336448598,20634,"LIB",0,1,0,0,0,0
"32",13010,"Tobique--Mactaquac","NB",54145,184,38427,99.4,248,0.6,38675,71.4,"Harvey, TJ Liberal/Libéral",17909,14225,4334,1959,0,0,3684,4,22,31,0.584905660377359,4,1.39130434782609,2.79591836734694,2.42307692307692,2.26415094339623,51.82,47.16,43.6326530612245,41.4615384615385,49.8653846153846,39.6470588235294,53,0.0754716981132075,0.584905660377358,17909,"LIB",0,1,0,0,0,0
"33",24001,"Abitibi--Baie-James--Nunavik--Eeyou","QC",63632,191,34518,98.3,609,1.7,35127,55.2,"Saganash, Romeo NDP-New Democratic Party/NPD-Nouveau Parti démocratique",11094,3211,12778,779,6398,258,1684,6,20,24,0.545454545454545,3,1.9,3.28571428571429,2.53658536585366,2.29545454545455,53.4736842105263,23.8974358974359,58.7435897435897,20.7631578947368,52.1282051282051,60.1578947368421,44,0.0681818181818182,0.545454545454545,12778,"NDP",0,0,1,0,0,0
"34",24002,"Abitibi--Témiscamingue","QC",82968,272,49729,98.5,741,1.5,50470,60.8,"Moore, Christine NDP-New Democratic Party/NPD-Nouveau Parti démocratique",14733,3425,20636,859,9651,425,5903,6,29,57,0.662790697674419,8,1.55,3.08433734939759,2.53658536585366,2.2,46.7692307692308,33.746835443038,63.5657894736842,26.6875,44.525641025641,64.0128205128205,86,0.0930232558139535,0.662790697674419,20636,"NDP",0,0,1,0,0,0
"35",24003,"Ahuntsic-Cartierville","QC",83208,223,55567,98.9,630,1.1,56197,67.5,"Joly, Mélanie Liberal/Libéral",26026,4051,16684,1175,7346,285,9342,6,59,43,0.42156862745098,10,1.4020618556701,2.91578947368421,2.38144329896907,2.18367346938776,60.3838383838384,36.1515151515151,62.3131313131313,36.2727272727273,59.3877551020408,59.4226804123711,102,0.0980392156862745,0.42156862745098,26026,"LIB",0,1,0,0,0,0
"36",24004,"Alfred-Pellan","QC",78524,207,55169,98.8,679,1.2,55848,71.1,"Iacono, Angelo Liberal/Libéral",24557,6259,13225,1089,9836,203,11332,6,32,36,0.529411764705882,0,1.56451612903226,3.125,2.58461538461538,2.13432835820896,54.8196721311475,31.8852459016393,64.4590163934426,30.5967741935484,54.8032786885246,64.2622950819672,68,0,0.529411764705882,24557,"LIB",0,1,0,0,0,0
"37",24005,"Argenteuil--La Petite-Nation","QC",78836,245,51066,98.8,601,1.2,51667,65.5,"Lauzon, Stéphane Liberal/Libéral",22093,5680,12650,1118,9525,0,9443,5,36,44,0.55,12,1.55072463768116,3.21518987341772,2.54430379746835,2.24358974358974,62.2987012987013,29.0909090909091,55.4285714285714,24.7866666666667,59.4,57.8513513513514,80,0.15,0.55,22093,"LIB",0,1,0,0,0,0
"38",24006,"Avignon--La Mitis--Matane--Matapédia","QC",60890,215,36356,98.9,416,1.1,36772,60.4,"Massé, Rémi Liberal/Libéral",14378,2228,7340,365,7641,4404,6737,7,31,40,0.563380281690141,9,1.86764705882353,3.40579710144928,2.51470588235294,2.29577464788732,48.1641791044776,26.0597014925373,61.2835820895522,24.4705882352941,50.6617647058824,58.4705882352941,71,0.126760563380282,0.563380281690141,14378,"LIB",0,1,0,0,0,0
"39",24007,"Beauce","QC",85698,263,55882,98.7,712,1.3,56594,66,"Bernier, Maxime Conservative/Conservateur",12442,32910,5443,943,4144,0,20468,5,54,79,0.593984962406015,6,2.01587301587302,2.5546875,2.104,2.03053435114504,46.3416666666667,51.603305785124,46.3504273504274,50.672,41.664,47.5365853658537,133,0.0451127819548872,0.593984962406015,32910,"CPC",1,0,0,0,0,0
"40",24008,"Beauport--Limoilou","QC",78799,220,50558,98.2,941,1.8,51499,65.4,"Clarke, Alupa Conservative/Conservateur",12854,15461,12881,1220,7467,675,2580,8,100,73,0.421965317919075,11,1.61212121212121,2.75294117647059,2.22352941176471,2.04046242774566,42.905325443787,44.0357142857143,52.5209580838323,42.6488095238095,40.3988095238095,54.8571428571429,173,0.0635838150289017,0.421965317919075,15461,"CPC",1,0,0,0,0,0
